Key Word	PostgreSQL
A	
ABORT	non-reserved
ABS	
ABSOLUTE	non-reserved
ACCESS	non-reserved
ACTION	non-reserved
ADA	
ADD	non-reserved
ADMIN	non-reserved
AFTER	non-reserved
AGGREGATE	non-reserved
ALIAS	
ALL	reserved
ALLOCATE	
ALSO	non-reserved
ALTER	non-reserved
ALWAYS	
ANALYSE	reserved
ANALYZE	reserved
AND	reserved
ANY	reserved
ARE	
ARRAY	reserved
AS	reserved
ASC	reserved
ASENSITIVE	
ASSERTION	non-reserved
ASSIGNMENT	non-reserved
ASYMMETRIC	reserved
AT	non-reserved
ATOMIC	
ATTRIBUTE	
ATTRIBUTES	
AUTHORIZATION	reserved (can be function)
AVG	
BACKWARD	non-reserved
BEFORE	non-reserved
BEGIN	non-reserved
BERNOULLI	
BETWEEN	reserved (can be function)
BIGINT	non-reserved (cannot be function or type)
BINARY	reserved (can be function)
BIT	non-reserved (cannot be function or type)
BITVAR	
BIT_LENGTH	
BLOB	
BOOLEAN	non-reserved (cannot be function or type)
BOTH	reserved
BREADTH	
BY	non-reserved
C	
CACHE	non-reserved
CALL	
CALLED	non-reserved
CARDINALITY	
CASCADE	non-reserved
CASCADED	
CASE	reserved
CAST	reserved
CATALOG	
CATALOG_NAME	
CEIL	
CEILING	
CHAIN	non-reserved
CHAR	non-reserved (cannot be function or type)
CHARACTER	non-reserved (cannot be function or type)
CHARACTERISTICS	non-reserved
CHARACTERS	
CHARACTER_LENGTH	
CHARACTER_SET_CATALOG	
CHARACTER_SET_NAME	
CHARACTER_SET_SCHEMA	
CHAR_LENGTH	
CHECK	reserved
CHECKED	
CHECKPOINT	non-reserved
CLASS	non-reserved
CLASS_ORIGIN	
CLOB	
CLOSE	non-reserved
CLUSTER	non-reserved
COALESCE	non-reserved (cannot be function or type)
COBOL	
COLLATE	reserved
COLLATION	
COLLATION_CATALOG	
COLLATION_NAME	
COLLATION_SCHEMA	
COLLECT	
COLUMN	reserved
COLUMN_NAME	
COMMAND_FUNCTION	
COMMAND_FUNCTION_CODE	
COMMENT	non-reserved
COMMIT	non-reserved
COMMITTED	non-reserved
COMPLETION	
CONDITION	
CONDITION_NUMBER	
CONNECT	
CONNECTION	non-reserved
CONNECTION_NAME	
CONSTRAINT	reserved
CONSTRAINTS	non-reserved
CONSTRAINT_CATALOG	
CONSTRAINT_NAME	
CONSTRAINT_SCHEMA	
CONSTRUCTOR	
CONTAINS	
CONTINUE	
CONVERSION	non-reserved
CONVERT	non-reserved (cannot be function or type)
COPY	non-reserved
CORR	
CORRESPONDING	
COUNT	
COVAR_POP	
COVAR_SAMP	
