Word	Reserved
A	0
ABS	0
ABSOLUTE	0
ACTION	0
ADA	0
ADMIN	0
AFTER	0
ALWAYS	0
ASC	0
ASSERTION	0
ASSIGNMENT	0
ATTRIBUTE	0
ATTRIBUTES	0
AVG	0
BEFORE	0
BERNOULLI	0
BREADTH	0
C	0
CARDINALITY	0
CASCADE	0
CATALOG	0
CATALOG_NAME	0
CEIL	0
CEILING	0
CHAIN	0
CHARACTERISTICS	0
CHARACTERS	0
CHARACTER_LENGTH	0
CHARACTER_SET_CATALOG	0
CHARACTER_SET_NAME	0
CHARACTER_SET_SCHEMA	0
CHAR_LENGTH	0
CHECKED	0
CLASS_ORIGIN	0
COALESCE	0
COBOL	0
CODE_UNITS	0
COLLATION	0
COLLATION_CATALOG	0
COLLATION_NAME	0
COLLATION_SCHEMA	0
COLLECT	0
COLUMN_NAME	0
COMMAND_FUNCTION	0
COMMAND_FUNCTION_CODE	0
COMMITTED	0
CONDITION	0
CONDITION_NUMBER	0
CONNECTION_NAME	0
CONSTRAINTS	0
CONSTRAINT_CATALOG	0
CONSTRAINT_NAME	0
CONSTRAINT_SCHEMA	0
CONSTRUCTORS	0
CONTAINS	0
CONVERT	0
CORR	0
COUNT	0
COVAR_POP	0
COVAR_SAMP	0
CUME_DIST	0
CURRENT_COLLATION	0
CURSOR_NAME	0
DATA	0
DATETIME_INTERVAL_CODE	0
DATETIME_INTERVAL_PRECISION	0
DEFAULTS	0
DEFERRABLE	0
DEFERRED	0
DEFINED	0
DEFINER	0
DEGREE	0
DENSE_RANK	0
DEPTH	0
DERIVED	0
DESC	0
DESCRIPTOR	0
DIAGNOSTICS	0
DISPATCH	0
DOMAIN	0
DYNAMIC_FUNCTION	0
DYNAMIC_FUNCTION_CODE	0
EQUALS	0
EVERY	0
EXCEPTION	0
EXCLUDE	0
EXCLUDING	0
EXP	0
EXTRACT	0
FINAL	0
FIRST	0
FLOOR	0
FOLLOWING	0
FORTRAN	0
FOUND	0
FUSION	0
G	0
GENERAL	0
GO	0
GOTO	0
GRANTED	0
HIERARCHY	0
IMPLEMENTATION	0
INCLUDING	0
INCREMENT	0
INITIALLY	0
INSTANCE	0
INSTANTIABLE	0
INTERSECTION	0
INVOKER	0
ISOLATION	0
K	0
KEY	0
KEY_MEMBER	0
KEY_TYPE	0
LAST	0
LENGTH	0
LEVEL	0
LN	0
LOCATOR	0
LOWER	0
M	0
MAP	0
MATCHED	0
MAX	0
MAXVALUE	0
MESSAGE_LENGTH	0
MESSAGE_OCTET_LENGTH	0
